id,article_id,source,first_property,middle_one,middle_two,second_property,destination,length,relevance_score,rarity_score,localPageRankMean,localHubMean,dbpediaPageRankMean,path_informativeness,path_pattern_informativeness,localPageViewMean
10173,130,Hillary_Clinton,R:successor,John_Kerry,,R:party,Democratic_Party_(United_States),2,0.0407162576994,40761.5,0.119245549454,0.0196425682788,356.019666667,0.488574735411,2.3978952728,30430
10174,130,Hillary_Clinton,L:predecessor,Kirsten_Gillibrand,,R:party,Democratic_Party_(United_States),2,0.0828380343371,26910.5,0.119245549454,0.0196425682788,324.066166667,0.367650184151,2.3978952728,29159.6666667
10175,130,Hillary_Clinton,L:spouse,Presidency_of_Bill_Clinton,,R:party,Democratic_Party_(United_States),2,0.0674695968718,30145.5,0.117714287167,0.0196425682788,330.380233333,0.384146277078,2.80336038091,28932
10176,130,Hillary_Clinton,L:spouse,Bill_Clinton,,R:party,Democratic_Party_(United_States),2,0.0780452776605,30145.5,0.119245549454,0.0196425682788,422.206666667,0.384146277078,2.80336038091,38239.3333333
10177,130,Hillary_Clinton,L:successor,Condoleezza_Rice,,R:party,Democratic_Party_(United_States),2,0.0424353720468,40761.5,0.119245549454,0.0196425682788,333.2926,0.334202231788,2.80336038091,29888.3333333
10178,130,Hillary_Clinton,L:predecessor,John_Kerry,,R:party,Democratic_Party_(United_States),2,0.0407162576994,26910.5,0.119245549454,0.0196425682788,356.019666667,0.367650184151,2.3978952728,30430
10179,130,Hillary_Clinton,L:parent,Chelsea_Clinton,,R:party,Democratic_Party_(United_States),2,0.0814009727101,26620,0.119245549454,0.0196425682788,322.30328,0.450697232511,3.49650756147,33973.3333333
10180,130,Hillary_Clinton,R:otherParty,Republican_Party_(United_States),,L:politicalPartyInLegislature,United_States_Senate,2,0.044453464199,987,0.0623122666612,0.0281246515719,527.539666667,0.449022709219,2.80336038091,29374
10181,130,Hillary_Clinton,R:party,Democratic_Party_(United_States),,L:politicalPartyOfLeader,United_States_Senate,2,0.0512784226719,19742,0.144952073955,0.0281246515719,535.871333333,0.196185404269,2.80336038091,30276.6666667
10182,130,Hillary_Clinton,R:party,Democratic_Party_(United_States),,L:politicalPartyInLegislature,United_States_Senate,2,0.0512784226719,19624,0.144952073955,0.0281246515719,535.871333333,0.299115708631,1.88706964903,30276.6666667
10183,130,Donald_Trump,R:party,,,,Democratic_Party_(United_States),1,0.0661470492896,38796,0.14849909467,0.0147661659069,437.1346,0.31963527594,2.80336038091,73268.5
10184,130,Donald_Trump,R:party,Independent_politician,,L:politicalPartyInLegislature,United_States_Senate,2,0.0625538553752,19624,0.0480172803588,0.0270800231674,336.396733333,0.423572315222,1.88706964903,45035.6666667
10185,130,Donald_Trump,R:party,Democratic_Party_(United_States),,L:politicalPartyInLegislature,United_States_Senate,2,0.0590947687642,19624,0.13036417911,0.0270800231674,506.864066667,0.366057166166,1.88706964903,50447.3333333
10186,130,Donald_Trump,R:party,Republican_Party_(United_States),,L:politicalPartyInLegislature,United_States_Senate,2,0.0500971871339,19624,0.0477243718158,0.0270800231674,498.5324,0.389716865434,1.88706964903,49544.6666667
10187,130,Donald_Trump,R:party,Democratic_Party_(United_States),,L:politicalPartyOfLeader,United_States_Senate,2,0.0590947687642,19742,0.13036417911,0.0270800231674,506.864066667,0.263126861805,2.80336038091,50447.3333333
10188,130,Democratic_Party_(United_States),L:politicalPartyInLegislature,,,,United_States_Senate,1,0.0103936233217,452,0.189355774852,0.0258538688442,745.505,0.412479056393,3.49650756147,11329
10189,130,Democratic_Party_(United_States),L:politicalPartyOfLeader,,,,United_States_Senate,1,0.0103936233217,688,0.189355774852,0.0258538688442,745.505,0.206618447669,3.49650756147,11329
10190,130,Democratic_Party_(United_States),L:party,Joe_Biden,,L:leader,United_States_Senate,2,0.019743522519,21229.5,0.136009953312,0.0249005139723,516.969266667,0.754497352698,3.49650756147,9844
10191,130,Democratic_Party_(United_States),L:party,Mark_E._Clayton,,R:occupation,United_States_Senate,2,0.015141217883,96429.5,0.13036417911,0.0285920316635,497.206559667,0.383014572029,2.3978952728,7555.33333333
10192,130,Democratic_Party_(United_States),L:party,William_Luther_Hill,,R:profession,United_States_Senate,2,0.00977182125347,22285.5,0.13036417911,0.0285920316635,497.096117667,0.383014572029,2.3978952728,7553.66666667
10193,130,Democratic_Party_(United_States),L:party,John_Martin_Hamley,,R:relation,United_States_Senate,2,0.00208108903169,21143.5,0.13036417911,0.0285920316635,497.070868333,0.382743078122,2.11021320035,7552.66666667
10194,130,Democratic_Party_(United_States),L:party,Presidency_of_Barack_Obama,,R:profession,United_States_Senate,2,0.0130884931217,22285.5,0.13036417911,0.0285920316635,509.699366667,0.383014572029,2.3978952728,7811
10195,130,Democratic_Party_(United_States),L:party,Sally_Smith_(politician),,R:occupation,United_States_Senate,2,0.00900793885898,96429.5,0.13036417911,0.0285920316635,497.097784333,0.383014572029,2.3978952728,7553.33333333
10196,130,Democratic_Party_(United_States),L:politicalPartyInLegislature,Kansas_Legislature,,R:house,United_States_Senate,2,0.00687833953019,340.5,0.13036417911,0.0285920316635,499.363176667,0.429067641164,2.80336038091,7568.66666667
10197,130,Democratic_Party_(United_States),L:party,"Frank_Voelker,_Sr.",,R:relation,United_States_Senate,2,0.00853536418085,21143.5,0.13036417911,0.0285920316635,497.093879333,0.382743078122,2.11021320035,7552.66666667
10198,130,Democratic_Party_(United_States),L:party,Claiborne_Pell,,R:profession,United_States_Senate,2,0.00934561242958,22285.5,0.13036417911,0.0285920316635,498.692083333,0.383014572029,2.3978952728,7581
10199,130,Democratic_Party_(United_States),L:party,Francis_Xavier_Ransdell,,R:relation,United_States_Senate,2,0.0088978099359,21143.5,0.13036417911,0.0285920316635,497.097927333,0.382743078122,2.11021320035,7552.66666667
10200,130,Democratic_Party_(United_States),L:party,Pete_Ashdown,,R:knownFor,United_States_Senate,2,0.0253847585435,31057.5,0.13036417911,0.0285920316635,497.134760667,0.403256555228,3.49650756147,7556.66666667
10201,130,Democratic_Party_(United_States),L:party,LaDonna_Harris,,R:spouse,United_States_Senate,2,0.0109137350129,30145.5,0.13036417911,0.0285920316635,497.43156,0.32421342273,2.80336038091,7567.66666667
10202,130,Democratic_Party_(United_States),L:party,Emily_Taft_Douglas,,R:spouse,United_States_Senate,2,0.0116086216862,30145.5,0.13036417911,0.0285920316635,497.181579,0.32421342273,2.80336038091,7555.33333333
10203,130,Democratic_Party_(United_States),L:party,"George_Arceneaux,_Jr.",,R:occupation,United_States_Senate,2,0.00970762832863,96429.5,0.13036417911,0.0285920316635,497.169850333,0.383014572029,2.3978952728,7552.66666667
